Habitat,Subtype,Distinctiveness_score,Difficulty of creation or accelerated succession,Difficulty of Enhancement or restoration,Time to target condition for habitat creation - Good,Time to target condition for habitat creation - Fairly Good,Time to target condition for habitat creation - Moderate,Time to target condition for habitat creation - Fairly Poor,Time to target condition for habitat creation - Poor,Time to target condition for habitat creation - N/A Agricultural,Time to target condition for habitat creation - N/A Other,Time to target condition for elevation to higher distinctiveness habitat - N/A Other,Time to target condition for elevation to higher distinctiveness habitat - N/A Agricultural,Time to target condition for elevation to higher distinctiveness habitat - Poor,Time to target condition for elevation to higher distinctiveness habitat - Fairly Poor,Time to target condition for elevation to higher distinctiveness habitat - Moderate,Time to target condition for elevation to higher distinctiveness habitat - Fairly Good,Time to target condition for elevation to higher distinctiveness habitat - Good,Time to target condition for distinctiveness unchanged - Poor - Fairly Poor,Time to target condition for distinctiveness unchanged - Poor - Moderate,Time to target condition for distinctiveness unchanged - Poor - Fairly Good,Time to target condition for distinctiveness unchanged - Poor - Good,Time to target condition for distinctiveness unchanged - Fairly Poor - Moderate,Time to target condition for distinctiveness unchanged - Fairly Poor - Fairly Good,Time to target condition for distinctiveness unchanged - Fairly Poor - Good,Time to target condition for distinctiveness unchanged - Moderate - Fairly Good,Time to target condition for distinctiveness unchanged - Moderate - Good,Time to target condition for distinctiveness unchanged - Fairly Good - Good
Semi-natural grasslands,Floodplain Wetland Mosaic (CFGM),6,0.33,0.33,0.343,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.586,0.49,0.41,0.343,0.837,0.49,0.41,0.343,0.837,0.7,0.586,0.837,0.7,0.837
Semi-natural grasslands,Lowland calcareous,6,0.33,0.33,0.343,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.586,0.49,0.41,0.343,0.7,0.586,0.49,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Semi-natural grasslands,Lowland dry acid,8,0.33,0.67,0.343,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.586,0.49,0.41,0.49,0.837,0.7,0.7,0.343,0.837,0.7,0.586,0.837,0.7,0.837
Semi-natural grasslands,Lowland meadows,8,0.33,0.67,0.586,0.652,0.7,0.752,0.837,999,999,-,-,0.837,0.752,0.7,0.652,0.586,0.837,0.837,0.752,0.7,0.752,0.652,0.586,0.899,0.837,0.837
Semi-natural grasslands,Modified grassland,2,1,1,0.586,0.652,0.7,0.837,0.965,0.965,999,-,0.965,0.965,0.837,0.7,0.652,0.586,0.837,0.7,0.652,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Semi-natural grasslands,Other lowland acid,4,1,1,0.586,0.652,0.7,0.837,0.965,999,999,-,-,0.965,0.837,0.7,0.652,0.586,0.837,0.7,0.652,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Semi-natural grasslands,Other neutral grassland,4,1,1,0.586,0.652,0.7,0.837,0.965,999,999,-,-,0.965,0.837,0.7,0.652,0.586,0.837,0.7,0.652,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Semi-natural grasslands,Tall herb communities,6,0.33,0.33,0.343,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.586,0.49,0.41,0.343,0.586,0.49,0.41,0.343,0.837,0.7,0.586,0.837,0.7,0.837
Semi-natural grasslands,Upland acid grassland,4,1,1,0.586,0.652,0.7,0.837,0.965,999,999,-,-,0.965,0.837,0.7,0.652,0.586,0.837,0.7,0.652,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Semi-natural grasslands,Upland calcareous,6,0.33,0.33,0.41,0.49,0.586,0.652,0.7,999,999,-,-,0.7,0.652,0.586,0.49,0.41,0.7,0.586,0.527,0.49,0.527,0.586,0.527,0.7,0.7,0.7
Semi-natural grasslands,Upland hay meadows,8,0.33,0.67,0.49,0.527,0.586,0.652,0.7,999,999,-,-,0.7,0.652,0.586,0.527,0.49,0.7,0.586,0.527,0.49,0.527,0.586,0.527,0.7,0.779,0.7
Heathlands,Blackthorn scrub,4,1,1,0.779,0.837,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.837,0.779,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
Heathlands,Bramble scrub,4,1,1,0.837,0.867,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.867,0.837,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
Heathlands,Gorse scrub,4,1,1,0.7,0.779,0.837,0.899,0.965,999,999,-,-,0.965,0.899,0.837,0.779,0.7,0.965,0.837,0.779,0.7,0.899,0.837,0.899,0.931,0.899,0.931
Heathlands,Hawthorn scrub,4,1,1,0.779,0.837,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.837,0.779,0.965,0.837,0.779,0.7,0.899,0.837,0.899,0.931,0.899,0.931
Heathlands,Hazel scrub,4,0.67,0.67,0.586,0.652,0.7,0.779,0.837,999,999,-,-,0.837,0.779,0.7,0.652,0.586,0.837,0.779,0.652,0.586,0.652,0.586,0.652,0.837,0.779,0.837
Heathlands,Lowland Heathland,6,0.33,0.67,0.32,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.586,0.49,0.41,0.32,0.7,0.586,0.49,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Heathlands,Mixed scrub,4,1,1,0.779,0.837,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.837,0.779,0.965,0.837,0.779,0.7,0.899,0.837,0.899,0.931,0.899,0.931
Heathlands,Mountain heaths and willow scrub,8,0.33,0.33,0.32,0.32,0.41,0.441,0.586,999,999,-,-,0.586,0.441,0.41,0.32,0.32,0.586,0.441,0.41,0.32,0.32,0.32,0.41,0.49,0.41,0.7
Heathlands,Rhododendron scrub,2,1,1,0.779,0.837,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.837,0.779,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
Heathlands,Sea buckthorn scrub (Annex 1),6,0.67,0.67,0.779,0.837,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.837,0.779,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
Heathlands,Sea buckthorn scrub (other),4,1,1,0.779,0.837,0.899,0.931,0.965,999,999,-,-,0.965,0.931,0.899,0.837,0.779,0.965,0.931,0.899,0.837,0.965,0.931,0.899,0.965,0.931,0.965
Heathlands,Upland Heathland,6,0.67,0.67,0.343,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.586,0.49,0.41,0.343,0.7,0.586,0.49,0.41,0.7,0.586,0.49,0.7,0.586,0.7
Peatland,Blanket bog,8,0.1,0.33,0.32,0.32,0.343,0.41,0.586,999,999,-,-,0.586,0.41,0.343,0.32,0.32,0.7,0.49,0.41,0.343,0.7,0.49,0.49,0.7,0.586,0.7
Peatland,Depressions on Peat substrates (H7150),8,0.1,0.33,0.32,0.32,0.343,0.41,0.586,999,999,-,-,0.586,0.41,0.343,0.32,0.32,0.7,0.49,0.41,0.343,0.7,0.49,0.49,0.7,0.586,0.7
Peatland,Fens (upland & lowland),8,0.33,0.33,0.343,0.41,0.586,0.652,0.7,999,999,-,-,0.7,0.652,0.586,0.41,0.343,0.7,0.652,0.586,0.586,0.7,0.586,0.586,0.7,0.7,0.7
Peatland,Lowland raised bog,8,0.1,0.33,0.32,0.32,0.343,0.49,0.586,999,999,-,-,0.586,0.49,0.343,0.32,0.32,0.7,0.49,0.41,0.343,0.7,0.49,0.49,0.7,0.586,0.7
Peatland,Oceanic Valley Mire [insert footnote] (D2.1),8,0.1,0.33,0.32,0.32,0.343,0.49,0.586,999,999,-,-,0.586,0.49,0.343,0.32,0.32,0.7,0.49,0.41,0.343,0.7,0.49,0.49,0.7,0.586,0.7
Peatland,Purple moor grass & rush pastures,8,0.33,0.33,0.343,0.41,0.49,0.586,0.7,999,999,-,-,0.7,0.652,0.586,0.546,0.49,0.837,0.7,0.586,0.49,0.586,0.586,0.49,0.7,0.586,0.837
Peatland,Reedbeds,6,0.67,0.67,0.586,0.652,0.7,0.779,0.837,999,999,-,-,0.837,0.779,0.7,0.652,0.586,0.837,0.7,0.652,0.586,0.779,0.7,0.652,0.779,0.7,0.837
Peatland,"Transition mires & quaking bogs
(H7140)",8,0.1,0.33,0.32,0.32,0.343,0.41,0.586,999,999,-,-,0.586,0.41,0.343,0.32,0.32,0.7,0.49,0.41,0.343,0.7,0.49,0.49,0.7,0.586,0.7
Woodland,Felled,4,1,1,0.32,0.32,0.32,0.32,0.32,999,999,-,-,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.7
Woodland,Lowland beech and yew woodland,6,0.33,0.33,0.32,0.32,0.32,0.32,0.32,999,999,-,-,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.7
Woodland,Lowland mixed deciduous woodland,6,0.33,0.33,0.32,0.32,0.32,0.32,0.32,999,999,-,-,0.32,0.32,0.32,0.32,0.32,0.7,0.586,0.32,0.32,0.41,0.41,0.41,0.49,0.49,0.7
Woodland,Native pine woodlands,6,0.33,0.33,0.32,0.32,0.32,0.343,0.41,999,999,-,-,0.41,0.343,0.32,0.32,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Other coniferous woodland,2,1,1,0.32,0.32,0.41,0.49,0.586,999,999,-,-,0.586,0.49,0.41,0.32,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Other Scot's Pine woodland,4,0.67,0.67,0.32,0.32,0.32,0.41,0.49,999,999,-,-,0.49,0.41,0.32,0.32,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Other woodland; broadleaved,4,0.67,0.67,0.32,0.32,0.343,0.41,0.49,999,999,-,-,0.49,0.41,0.343,0.32,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Other woodland; mixed,4,0.67,0.67,0.32,0.343,0.41,0.49,0.586,999,999,-,-,0.586,0.49,0.41,0.343,0.32,0.7,0.7,0.586,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Other woodland; Young Trees planted,4,1,1,0.32,0.32,0.32,0.343,0.41,999,999,-,-,0.41,0.343,0.32,0.32,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Upland birchwoods,6,0.67,0.67,0.32,0.343,0.41,0.49,0.586,999,999,-,-,0.586,0.49,0.41,0.343,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Upland mixed ashwoods,6,0.33,0.33,0.32,0.32,0.32,0.343,0.41,999,999,-,-,0.41,0.343,0.32,0.32,0.32,0.7,0.586,0.49,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Upland oakwood,6,0.33,0.33,0.32,0.32,0.32,0.32,0.32,999,999,-,-,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
Woodland,Wet woodland,6,0.67,0.67,0.32,0.343,0.41,0.49,0.586,999,999,-,-,0.586,0.49,0.41,0.343,0.32,0.7,0.7,0.586,0.32,0.586,0.49,0.41,0.7,0.586,0.7
Woodland,Wood-pasture & parkland,6,0.1,0.33,0.32,0.32,0.32,0.32,0.32,999,999,-,-,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
